name,translation,zip_code,state_name,state_abbreviation,city,latitude,longitude
Centre College,中央大学,40422-1394,Kentucky,KY,Danville,37.645102,-84.779175
Clear Creek Baptist Bible College,清除河浸会圣经学院,40977-9752,Kentucky,KY,Pineville,36.725236,-83.727702
University of the Cumberlands,坎伯兰大学,40769,Kentucky,KY,Williamsburg,36.736489,-84.162375
Eastern Kentucky University,东肯塔基大学,40475-3102,Kentucky,KY,Richmond,37.740396,-84.301356
Frontier Nursing University,边境护理大学,41749,Kentucky,KY,Hyden,37.16363,-83.376447
Georgetown College,乔治城大学,40324-1696,Kentucky,KY,Georgetown,38.207934,-84.554583
Kentucky Mountain Bible College,肯塔基州山区圣经学院,41385-0010,Kentucky,KY,Vancleve,37.604308,-83.43771
Kentucky State University,肯塔基州立大学,40601-2355,Kentucky,KY,Frankfort,38.201056,-84.855488
Kentucky Wesleyan College,肯塔基卫斯理学院,42301,Kentucky,KY,Owensboro,37.744667,-87.121984
University of Kentucky,肯塔基大学,40506-0032,Kentucky,KY,Lexington,38.032393,-84.509177
Kentucky Christian University,肯塔基州基督教大学,41143-1199,Kentucky,KY,Grayson,38.339002,-82.946883
Lexington Theological Seminary,列克星敦神学院,40508-3288,Kentucky,KY,Lexington,38.037059,-84.509311
Lindsey Wilson College,林赛·威尔逊学院,42728-1223,Kentucky,KY,Columbia,37.101853,-85.299909
University of Louisville,路易斯维尔大学,40292-0001,Kentucky,KY,Louisville,38.215752,-85.758843
Louisville Presbyterian Theological Seminary,路易斯维尔长老会神学院,40205-1798,Kentucky,KY,Louisville,38.236941,-85.685726
Mid-Continent University,中大陆大学,42066-9007,Kentucky,KY,Mayfield,36.815418,-88.648361
Midway College,中途岛学院,40347-1120,Kentucky,KY,Midway,38.144432,-84.679335
Morehead State University,莫尔黑德州立大学,40351,Kentucky,KY,Morehead,38.188462,-83.429742
Murray State University,莫瑞州立大学,42071-3318,Kentucky,KY,Murray,36.61241,-88.323493
Northern Kentucky University,北肯塔基大学,41099,Kentucky,KY,Highland Heights,39.029221,-84.465959
University of Pikeville,派克维尔大学,41501,Kentucky,KY,Pikeville,37.478835,-82.520265
Saint Catharine College,圣杰灵学院,40061,Kentucky,KY,Saint Catharine,37.708833,-85.261372
Spalding University,斯伯丁大学,40203-2188,Kentucky,KY,Louisville,38.241815,-85.75905
Thomas More College,托马斯·莫尔学院,41017-3495,Kentucky,KY,Crestview Hills,39.022963,-84.568923
Transylvania University,特兰西瓦尼亚大学,40508-1797,Kentucky,KY,Lexington,38.053236,-84.493883
Union College,联合学院,40906-1499,Kentucky,KY,Barbourville,36.869066,-83.887982
Western Kentucky University,西肯塔基大学,42101-1000,Kentucky,KY,Bowling Green,36.985718,-86.455898
Centenary College of Louisiana,路易斯安那百年学院,71134-1188,Louisiana,LA,Shreveport,32.483004,-93.731518
Dillard University,迪拉德大学,70122,Louisiana,LA,New Orleans,29.996468,-90.065348
Grambling State University,Grambling州立大学,71245,Louisiana,LA,Grambling,32.522702,-92.717367
Louisiana State University Health Sciences Center-New Orleans,路易斯安那州立大学健康科学中心新奥尔良,70112-2223,Louisiana,LA,New Orleans,29.957272,-90.083145
Louisiana State University-Alexandria,路易斯安那州立大学亚历山大,71302-9121,Louisiana,LA,Alexandria,31.178616,-92.414409
Louisiana State University and Agricultural & Mechanical College,路易斯安那州立大学和农业与机械学院,70803-2750,Louisiana,LA,Baton Rouge,30.552111,-91.196656
Louisiana State University-Shreveport,路易斯安那州立大学 - 什里夫波特,71115-2399,Louisiana,LA,Shreveport,32.428768,-93.703762
Louisiana College,路易斯安那大学,71359,Louisiana,LA,Pineville,31.322286,-92.425567
Louisiana Tech University,路易斯安那理工大学,71272,Louisiana,LA,Ruston,32.525518,-92.64964
Loyola University New Orleans,新奥尔良洛约拉大学,70118-6143,Louisiana,LA,New Orleans,29.936141,-90.120417
McNeese State University,麦克尼斯州立大学,70605,Louisiana,LA,Lake Charles,30.180762,-93.215648
University of New Orleans,新奥尔良大学,70148,Louisiana,LA,New Orleans,30.028539,-90.068506
Nicholls State University,尼古拉斯州立大学,70310,Louisiana,LA,Thibodaux,29.792689,-90.802906
University of Louisiana at Monroe,路易斯安那州门罗大学,71209-0000,Louisiana,LA,Monroe,32.527957,-92.073855
Notre Dame Seminary Graduate School of Theology,神学的圣母学院研究生院,70118-4391,Louisiana,LA,New Orleans,29.958077,-90.114185
Northwestern State University of Louisiana,路易斯安那州的西北州立大学,71497-0002,Louisiana,LA,Natchitoches,31.750675,-93.097715
Our Lady of Holy Cross College,我们的圣十字学院的夫人,70131-7399,Louisiana,LA,New Orleans,29.912539,-89.997055
Our Lady of the Lake College,莱克学院的夫人,70808,Louisiana,LA,Baton Rouge,30.40019,-91.110451
Saint Joseph Seminary College,圣若瑟修院学院,70457,Louisiana,LA,St. Benedict,30.526778,-90.113621
Southeastern Louisiana University,东南路易斯安那大学,70402,Louisiana,LA,Hammond,30.51358,-90.468558
Southern University and A & M College,南方大学和A＆M大学,70813,Louisiana,LA,Baton Rouge,30.524558,-91.190105
Southern University at New Orleans,南方大学新奥尔良,70126,Louisiana,LA,New Orleans,30.02669,-90.044379
University of Louisiana at Lafayette,路易斯安那大学拉斐特分校,70503,Louisiana,LA,Lafayette,30.215283,-92.01941
Tulane University of Louisiana,路易斯安那州杜兰大学,70118-5698,Louisiana,LA,New Orleans,29.939696,-90.120409
Xavier University of Louisiana,路易斯安那泽维尔大学,70125-1098,Louisiana,LA,New Orleans,29.964162,-90.107307
College of the Atlantic,大西洋学院,4609,Maine,ME,Bar Harbor,44.399584,-68.228849
Bates College,贝茨学院,4240,Maine,ME,Lewiston,44.105299,-70.203333
Bowdoin College,鲍登学院,4011,Maine,ME,Brunswick,43.906969,-69.965165
Colby College,科尔比学院,04901-8840,Maine,ME,Waterville,44.564211,-69.66337
Husson University,胡森大学,04401-2999,Maine,ME,Bangor,44.828888,-68.791323
University of Maine at Augusta,缅因大学在奥古斯塔,04330-9410,Maine,ME,Augusta,44.337746,-69.796396
University of Maine at Farmington,缅因大学法明顿,04938-9978,Maine,ME,Farmington,44.668,-70.147469
University of Maine at Fort Kent,缅因大学肯特堡,04743-1292,Maine,ME,Fort Kent,47.250306,-68.588364
University of Maine at Machias,缅因大学玛起亚斯,04654-1397,Maine,ME,Machias,44.709895,-67.456534
University of Maine,缅因大学,4469,Maine,ME,Orono,44.895966,-68.673839
Maine Maritime Academy,缅因州海事学院,04420-0001,Maine,ME,Castine,44.3873,-68.803214
University of Maine at Presque Isle,缅因州大学普雷斯克岛,04769-2888,Maine,ME,Presque Isle,46.672377,-68.016516
University of New England,新英格兰大学,04005-9599,Maine,ME,Biddeford,43.458172,-70.385882
Maine College of Art,艺术学院缅因,04101-3494,Maine,ME,Portland,43.653672,-70.26195
Saint Joseph's College of Maine,缅因州的圣若瑟书院,04084-5236,Maine,ME,Standish,43.82651,-70.483486
University of Southern Maine,南缅因州大学,4103,Maine,ME,Portland,43.662637,-70.276002
Thomas College,托马斯学院,04901-5097,Maine,ME,Waterville,44.524046,-69.662923
Unity College,统一学院,4988,Maine,ME,Unity,44.603165,-69.332276
University of Baltimore,巴尔的摩大学,21201-5720,Maryland,MD,Baltimore,39.305834,-76.616591
Bowie State University,鲍伊州立大学,20715-9465,Maryland,MD,Bowie,39.018185,-76.759721
Capitol College,国会学院,20708,Maryland,MD,Laurel,39.047047,-76.851413
Washington Adventist University,华盛顿大学复临,20912,Maryland,MD,Takoma Park,38.987206,-77.00131
Coppin State University,考平州立大学,21216-3698,Maryland,MD,Baltimore,39.310786,-76.658547
Frostburg State University,弗罗斯特堡州立大学,21532-1099,Maryland,MD,Frostburg,39.651509,-78.933871
Goucher College,古彻学院,21204-2794,Maryland,MD,Baltimore,39.410175,-76.594843
Hood College,胡德学院,21701,Maryland,MD,Frederick,39.421908,-77.419282
Johns Hopkins University,约翰斯·霍普金斯大学,21218-2688,Maryland,MD,Baltimore,39.32838,-76.620799
Loyola University Maryland,洛约拉大学马里兰,21210-2699,Maryland,MD,Baltimore,39.346044,-76.623417
University of Maryland-University College,马里兰大学学院大学,20783-8010,Maryland,MD,Adelphi,38.986299,-76.954104
University of Maryland-Baltimore,马里兰大学巴尔的摩分校,21201-1627,Maryland,MD,Baltimore,39.29173,-76.624981
University of Maryland-Baltimore County,马里兰州巴尔的摩县的大学,21250,Maryland,MD,Baltimore,39.256686,-76.711607
University of Maryland-College Park,马里兰大学帕克分校,20742,Maryland,MD,College Park,38.988607,-76.939704
Maryland Institute College of Art,马里兰艺术学院,21217-4134,Maryland,MD,Baltimore,39.308792,-76.621033
University of Maryland Eastern Shore,马里兰州东海岸大学,21853-1299,Maryland,MD,Princess Anne,38.211188,-75.687227
Morgan State University,摩根州立大学,21251-0001,Maryland,MD,Baltimore,39.344235,-76.584238
Mount St Mary's University,山圣玛丽大学,21727-7799,Maryland,MD,Emmitsburg,39.680632,-77.35222
Ner Israel Rabbinical College,以色列珥拉比学院,21208,Maryland,MD,Baltimore,39.387771,-76.751799
Notre Dame of Maryland University,马里兰圣母大学,21210-2476,Maryland,MD,Baltimore,39.351307,-76.619701
Salisbury University,索尔兹伯里大学,21801-6862,Maryland,MD,Salisbury,38.345447,-75.605705
St Mary's College of Maryland,马里兰州圣玛丽学院,20686-3001,Maryland,MD,St. Mary's City,38.188615,-76.425706
Sojourner-Douglass College,旅居者 - 道格拉斯学院,21205-1898,Maryland,MD,Baltimore,39.296333,-76.598191
St John's College,圣约翰学院,21401,Maryland,MD,Annapolis,38.981513,-76.491397
Towson University,陶森大学,21252-0001,Maryland,MD,Towson,39.393008,-76.612268
Maryland University of Integrative Health,结合保健的马里兰大学,20723,Maryland,MD,Laurel,39.165872,-76.888025
United States Naval Academy,美国海军学院,21402-5000,Maryland,MD,Annapolis,38.980507,-76.481692
Stevenson University,史蒂文森大学,21153-0641,Maryland,MD,Stevenson,39.421264,-76.701247
Washington College,华盛顿大学,21620-1438,Maryland,MD,Chestertown,39.217329,-76.06878
McDaniel College,麦克丹尼尔学院,21157,Maryland,MD,Westminster,39.584879,-77.001662
Hult International Business School,霍特国际商学院,02141-1805,Massachusetts,MA,Cambridge,42.36988,-71.070721
American International College,美国国际学院,1109,Massachusetts,MA,Springfield,42.112708,-72.558507
Amherst College,阿默斯特学院,01002-5000,Massachusetts,MA,Amherst,42.372459,-72.518493
Andover Newton Theological School,安多佛牛顿神学院,02459-2243,Massachusetts,MA,Newton Centre,42.324729,-71.189586
Anna Maria College,安娜玛丽亚学院,01612-1198,Massachusetts,MA,Paxton,42.33055,-71.918961
Assumption College,假定学院,01609-1296,Massachusetts,MA,Worcester,42.295435,-71.828387
Babson College,巴布森学院,02457-0310,Massachusetts,MA,Wellesley,42.296529,-71.269479
Boston Baptist College,波士顿浸会学院,02136-4030,Massachusetts,MA,Boston,42.254037,-71.1103
Bay Path College,湾径学院,1106,Massachusetts,MA,Longmeadow,42.055364,-72.583974
Becker College,贝克尔学院,01609-2165,Massachusetts,MA,Worcester,42.26918,-71.811895
Bentley University,本特利大学,02452-4705,Massachusetts,MA,Waltham,42.388798,-71.220148
Berklee College of Music,伯克利音乐学院,2215,Massachusetts,MA,Boston,42.346895,-71.08703
Boston Architectural College,波士顿建筑学院,02115-2703,Massachusetts,MA,Boston,42.34867,-71.085851
Boston Graduate School of Psychoanalysis Inc,精神分析公司的波士顿研究生院,2446,Massachusetts,MA,Brookline,42.339481,-71.133025
Boston College,波士顿学院,2467,Massachusetts,MA,Chestnut Hill,42.337688,-71.171488
The Boston Conservatory,波士顿学院,2215,Massachusetts,MA,Boston,42.346933,-71.090502
Boston University,波士顿大学,2215,Massachusetts,MA,Boston,42.349581,-71.09984
Brandeis University,布兰代斯大学,02454-9110,Massachusetts,MA,Waltham,42.364947,-71.254716
Bridgewater State University,布里奇沃特州立大学,2325,Massachusetts,MA,Bridgewater,41.987785,-70.966058
Cambridge College,剑桥学院,2138,Massachusetts,MA,Cambridge,42.369193,-71.11084
Laboure College,Laboure学院,2186,Massachusetts,MA,Milton,42.261416,-71.058198
Clark University,克拉克大学,01610-1477,Massachusetts,MA,Worcester,42.251064,-71.823537
Conway School of Landscape Design,景观设计学院康威,01341-0179,Massachusetts,MA,Conway,42.506313,-72.686919
Curry College,咖喱学院,02186-2395,Massachusetts,MA,Milton,42.240616,-71.114007
Dean College,迪恩学院,02038-1941,Massachusetts,MA,Franklin,42.08497,-71.399003
Eastern Nazarene College,东方拿撒勒学院,02170-2999,Massachusetts,MA,Quincy,42.271214,-71.011238
Emerson College,爱默生学院,02116-4624,Massachusetts,MA,Boston,42.35532,-71.074037
Emmanuel College,伊曼纽尔学院,2115,Massachusetts,MA,Boston,42.341191,-71.103038
Endicott College,恩迪科特学院,1915,Massachusetts,MA,Beverly,42.554177,-70.840729
Episcopal Divinity School,圣公会神学院,02138-3494,Massachusetts,MA,Cambridge,42.376558,-71.125518
Fisher College,费舍尔学院,2116,Massachusetts,MA,Boston,42.355253,-71.074125
Fitchburg State University,菲奇堡州立大学,01420-2697,Massachusetts,MA,Fitchburg,42.589345,-71.789354
Framingham State University,弗雷明汉州立大学,01701-9101,Massachusetts,MA,Framingham,42.297289,-71.437175
Benjamin Franklin Institute of Technology,技术的本杰明·富兰克林研究所,2116,Massachusetts,MA,Boston,42.346023,-71.070231
Gordon College,戈登学院,1984,Massachusetts,MA,Wenham,42.588173,-70.819133
Gordon-Conwell Theological Seminary,戈登 - 康维尔神学院,1982,Massachusetts,MA,South Hamilton,42.613475,-70.846387
Hampshire College,汉普郡学院,01002-5001,Massachusetts,MA,Amherst,42.324772,-72.532401
Harvard University,哈佛大学,2138,Massachusetts,MA,Cambridge,42.374429,-71.118177
Hebrew College,希伯来大学,02459-2237,Massachusetts,MA,Newton Centre,42.3264,-71.190525
Hellenic College-Holy Cross Greek Orthodox School of Theology,神学的希腊学院，圣十字希腊东正教学校,02445-7496,Massachusetts,MA,Brookline,42.317018,-71.129418
College of the Holy Cross,圣十字学院,01610-2395,Massachusetts,MA,Worcester,42.238942,-71.808627
Lasell College,Lasell学院,2466,Massachusetts,MA,Newton,42.342712,-71.243738
Lesley University,莱斯利大学,02138-2790,Massachusetts,MA,Cambridge,42.378429,-71.115601
University of Massachusetts-Lowell,马萨诸塞州洛厄尔大学,01854-5104,Massachusetts,MA,Lowell,42.65372,-71.325081
Marian Court College,玛丽安法院学院,1907,Massachusetts,MA,Swampscott,42.469685,-70.8919
University of Massachusetts-Amherst,马萨诸塞大学阿默斯特分校,1003,Massachusetts,MA,Amherst,42.386105,-72.52613
University of Massachusetts-Boston,马萨诸塞大学波士顿分校,02125-3393,Massachusetts,MA,Boston,42.314541,-71.038653
MCPHS University,麻省药科与健康科学大学,02115-5896,Massachusetts,MA,Boston,42.337036,-71.100964
Massachusetts College of Art and Design,艺术与设计学院马萨诸塞,02115-5882,Massachusetts,MA,Boston,42.33693,-71.099537
Massachusetts Institute of Technology,麻省理工学院,02139-4307,Massachusetts,MA,Cambridge,42.360095,-71.092115
Massachusetts Maritime Academy,马萨诸塞海事学院,02532-1803,Massachusetts,MA,Buzzards Bay,41.740538,-70.623953
University of Massachusetts Medical School Worcester,麻省医学院伍斯特大学,1655,Massachusetts,MA,Worcester,42.277589,-71.760689
Massachusetts School of Professional Psychology,专业心理学学院马萨诸塞,2459,Massachusetts,MA,Newton,42.295007,-71.203361
Merrimack College,梅里马克学院,1845,Massachusetts,MA,North Andover,42.668352,-71.124216
MGH Institute of Health Professions,卫生职业学院MGH,02129-4557,Massachusetts,MA,Boston,42.373635,-71.056518
Montserrat College of Art,艺术学院蒙特塞拉特,01915-4508,Massachusetts,MA,Beverly,42.550416,-70.876419
Mount Holyoke College,曼荷莲学院,01075-1489,Massachusetts,MA,South Hadley,42.257588,-72.573625
Mount Ida College,伊达山学院,2459,Massachusetts,MA,Newton,42.293205,-71.194658
School of the Museum of Fine Arts-Boston,精细的艺术博物馆，波士顿学院,02115-5596,Massachusetts,MA,Boston,42.338958,-71.096941
The New England Conservatory of Music,音乐的新英格兰音乐学院,02115-5018,Massachusetts,MA,Boston,42.340998,-71.086321
New England College of Optometry,验光的新英格兰学院,2115,Massachusetts,MA,Boston,42.351656,-71.086521
New England School of Acupuncture,针灸的新英格兰学院,2458,Massachusetts,MA,Newton,42.363713,-71.19491
New England School of Law,法新英格兰学院,2116,Massachusetts,MA,Boston,42.350833,-71.0665
Newbury College,纽伯里学院,2445,Massachusetts,MA,Brookline,42.331032,-71.142082
Nichols College,尼科尔斯学院,01571-5000,Massachusetts,MA,Dudley,42.042462,-71.929644
Massachusetts College of Liberal Arts,文科的马萨诸塞州大学,01247-4100,Massachusetts,MA,North Adams,42.692427,-73.1035
Northeastern University,东北大学,02115-5005,Massachusetts,MA,Boston,42.339992,-71.088782
College of Our Lady of the Elms,我们对榆树圣母学院,1013,Massachusetts,MA,Chicopee,42.14179,-72.601541
Pine Manor College,松庄园学院,2467,Massachusetts,MA,Chestnut Hill,42.319568,-71.156973
Blessed John XXIII National Seminary,有福了约翰二十三世哲学院,02493-2699,Massachusetts,MA,Weston,42.3455,-71.2717
Regis College,瑞吉斯学院,02493-1571,Massachusetts,MA,Weston,42.351105,-71.309126
Saint John's Seminary,圣约翰学院,02135-3846,Massachusetts,MA,Brighton,42.344146,-71.161998
Salem State University,塞勒姆州立大学,1970,Massachusetts,MA,Salem,42.502879,-70.889321
Simmons College,西蒙斯学院,02115-5898,Massachusetts,MA,Boston,42.3393,-71.099967
Bard College at Simon's Rock,巴德学院西蒙的岩石,01230-9702,Massachusetts,MA,Great Barrington,42.209241,-73.380008
Smith College,史密斯学院,1063,Massachusetts,MA,Northampton,42.317933,-72.638094
Springfield College,斯普林菲尔德学院,01109-3797,Massachusetts,MA,Springfield,42.105033,-72.555688
University of Massachusetts-Dartmouth,马萨诸塞大学达特茅斯分校,02747-2300,Massachusetts,MA,North Dartmouth,41.628861,-71.005528
Stonehill College,斯通希尔学院,02357-6110,Massachusetts,MA,Easton,42.061448,-71.078123
Suffolk University,萨福克大学,02108-2770,Massachusetts,MA,Boston,42.359088,-71.061969
Tufts University,塔夫茨大学,02155-5555,Massachusetts,MA,Medford,42.406004,-71.120641
Wellesley College,韦尔斯利学院,02481-8203,Massachusetts,MA,Wellesley,42.293765,-71.307966
Wentworth Institute of Technology,温特沃斯理工学院,2115,Massachusetts,MA,Boston,42.336632,-71.094983
Western New England University,西新英格兰大学,01119-2684,Massachusetts,MA,Springfield,42.115837,-72.518789
Westfield State University,韦斯特菲尔德州立大学,01086-1630,Massachusetts,MA,Westfield,42.131589,-72.795673
Wheaton College,惠顿学院,2766,Massachusetts,MA,Norton,41.966813,-71.184167
Wheelock College,会德丰学院,02215-4176,Massachusetts,MA,Boston,42.342503,-71.10582
Williams College,威廉姆斯学院,1267,Massachusetts,MA,Williamstown,42.711669,-73.205888
Worcester Polytechnic Institute,伍斯特理工学院,01609-2280,Massachusetts,MA,Worcester,42.275067,-71.808792
Worcester State University,伍斯特州立大学,01602-2597,Massachusetts,MA,Worcester,42.267534,-71.844019
Adrian College,阿德里安学院,49221-2575,Michigan,MI,Adrian,41.898449,-84.059947
Albion College,阿尔比恩学院,49224,Michigan,MI,Albion,42.244603,-84.746088
Alma College,阿尔玛学院,48801-1599,Michigan,MI,Alma,43.379236,-84.670073
Andrews University,圣安德鲁斯大学,49104,Michigan,MI,Berrien Springs,41.963266,-86.355149
Aquinas College,阿奎那学院,49506-1799,Michigan,MI,Grand Rapids,42.960449,-85.626166
Baker College of Owosso,Owosso的贝克学院,48867,Michigan,MI,Owosso,42.987045,-84.170882
Baker College of Flint,弗林特的贝克学院,48507-5508,Michigan,MI,Flint,42.974764,-83.694679
Calvin College,卡尔文学院,49546,Michigan,MI,Grand Rapids,42.929916,-85.587548
Calvin Theological Seminary,卡尔文神学院,49546-4387,Michigan,MI,Grand Rapids,42.92992,-85.587354
Michigan School of Professional Psychology,心理学专业的学校密歇根,48334-4512,Michigan,MI,Farmington Hills,42.491427,-83.359575
Central Michigan University,中央密歇根大学,48859,Michigan,MI,Mount Pleasant,43.591137,-84.775275
Cleary University,克利大学,48105-2659,Michigan,MI,Ann Arbor,42.305553,-83.690938
Concordia University-Ann Arbor,康科迪亚大学 - 安娜堡,48105,Michigan,MI,Ann Arbor,42.274723,-83.682676
Cranbrook Academy of Art,克兰布鲁克艺术学院,48304,Michigan,MI,Bloomfield Hills,42.568716,-83.25124
College for Creative Studies,创意研究学院,48202,Michigan,MI,Detroit,42.361839,-83.062352
Davenport University,达文波特大学,49512-9396,Michigan,MI,Grand Rapids,42.849713,-85.529655
Michigan State University-College of Law,法律的密歇根州立大学，学院,48824-1300,Michigan,MI,East Lansing,42.725874,-84.482319
University of Detroit Mercy,底特律梅西大学,48221-3038,Michigan,MI,Detroit,42.417168,-83.138369
Eastern Michigan University,东密歇根大学,48197,Michigan,MI,Ypsilanti,42.245751,-83.624499
Ferris State University,费里斯州立大学,49307-2251,Michigan,MI,Big Rapids,43.687464,-85.483509
Kettering University,凯特林大学,48504-6214,Michigan,MI,Flint,43.013112,-83.714356
Grace Bible College,格雷斯神学院,49509,Michigan,MI,Wyoming,42.919541,-85.692077
Cornerstone University,基石大学,49525-5897,Michigan,MI,Grand Rapids,42.979044,-85.595602
Grand Valley State University,大峡谷州立大学,49401-9403,Michigan,MI,Allendale,42.965208,-85.887519
Great Lakes Christian College,大湖基督教学院,48917-1299,Michigan,MI,Lansing,42.754249,-84.638714
Hope College,霍普学院,49423-3607,Michigan,MI,Holland,42.788052,-86.105376
Kalamazoo College,卡拉马祖学院,49006-3295,Michigan,MI,Kalamazoo,42.290382,-85.601317
Lake Superior State University,苏必利尔湖州立大学,49783,Michigan,MI,Sault Ste Marie,46.491736,-84.3655
Lawrence Technological University,罗伦斯科技大学,48075-1058,Michigan,MI,Southfield,42.474072,-83.25003
Madonna University,麦当娜大学,48150-1176,Michigan,MI,Livonia,42.386463,-83.407306
Marygrove College,Marygrove学院,48221-2599,Michigan,MI,Detroit,42.414415,-83.154109
Rochester College,罗切斯特大学,48307,Michigan,MI,Rochester Hills,42.667521,-83.144959
University of Michigan-Ann Arbor,密歇根大学安娜堡分校,48109,Michigan,MI,Ann Arbor,42.276172,-83.74313
Michigan State University,密歇根州立大学,48824-1046,Michigan,MI,East Lansing,42.72476,-84.473639
Michigan Technological University,密歇根理工大学,49931-1295,Michigan,MI,Houghton,47.1183,-88.546403
University of Michigan-Dearborn,密歇根州迪尔伯恩的大学,48128-1491,Michigan,MI,Dearborn,42.317287,-83.231417
University of Michigan-Flint,密歇根大学弗林特分校,48502-1950,Michigan,MI,Flint,43.018777,-83.688474
Baker College of Muskegon,马斯基根贝克学院,49442,Michigan,MI,Muskegon,43.244133,-86.196717
Northern Michigan University,北密歇根大学,49855,Michigan,MI,Marquette,46.558037,-87.403857
Northwestern Michigan College,西北密歇根学院,49686,Michigan,MI,Traverse City,44.767608,-85.581808
Northwood University-Michigan,诺斯伍德大学，密西根,48640-2398,Michigan,MI,Midland,43.628996,-84.276276
Oakland University,奥克兰大学,48309-4401,Michigan,MI,Rochester Hills,42.672586,-83.218866
Olivet College,奥利韦学院,49076,Michigan,MI,Olivet,42.440908,-84.922864
Kuyper College,凯伯学院,49525-9781,Michigan,MI,Grand Rapids,43.02195,-85.592657
Sacred Heart Major Seminary,圣心大修院,48206-1799,Michigan,MI,Detroit,42.375248,-83.111682
Saginaw Valley State University,萨吉诺谷州立大学,48710,Michigan,MI,University Center,43.55187,-83.96434
Siena Heights University,锡耶纳高地大学,49221,Michigan,MI,Adrian,41.905952,-84.015144
Spring Arbor University,春季植树节大学,49283-9799,Michigan,MI,Spring Arbor,42.206233,-84.551918
Finlandia University,芬兰大学,49930-1832,Michigan,MI,Hancock,47.12709,-88.589392
Thomas M Cooley Law Schoo,托马斯·M·库利律师Schoo,48901,Michigan,MI,Lansing,42.731,-84.554429
Walsh College of Accountancy and Business Administration,会计和工商管理学院沃尔什,48083-5066,Michigan,MI,Troy,42.573888,-83.147197
Wayne State University,韦恩州立大学,48202,Michigan,MI,Detroit,42.35861,-83.072864
Western Michigan University,西密歇根大学,49008-5200,Michigan,MI,Kalamazoo,42.282589,-85.61512
Western Theological Seminary,西方神学院,49423-3622,Michigan,MI,Holland,42.786227,-86.101897
Augsburg College,奥格斯堡学院,55454,Minnesota,MN,Minneapolis,44.965636,-93.241418
Bemidji State University,伯米吉州立大学,56601,Minnesota,MN,Bemidji,47.482505,-94.874529
Bethany Lutheran College,伯大尼路德学院,56001,Minnesota,MN,Mankato,44.166485,-93.990744
Bethel University,伯特利大学,55112,Minnesota,MN,Saint Paul,45.057091,-93.159295
Bethel Seminary-St Paul,伯特利学院 - 圣保罗,55112,Minnesota,MN,Saint Paul,45.058775,-93.159786
Carleton College,卡尔顿学院,55057-4001,Minnesota,MN,Northfield,44.462304,-93.154662
Concordia College at Moorhead,康科迪亚大学墨尔海德处,56562,Minnesota,MN,Moorhead,46.859423,-96.765567
Concordia University-Saint Paul,康科迪亚大学 - 圣保罗,55104-5494,Minnesota,MN,Saint Paul,44.951231,-93.154369
Martin Luther College,马丁·路德学院,56073-3965,Minnesota,MN,New Ulm,44.3046,-94.473422
Gustavus Adolphus College,古斯塔夫·阿道夫学院,56082-1498,Minnesota,MN,Saint Peter,44.324968,-93.971928
Hamline University,哈姆林大学,55104-1284,Minnesota,MN,Saint Paul,44.965696,-93.163983
Hazelden Graduate School of Addiction Studies,成瘾研究Hazelden研究生院,55012-0011,Minnesota,MN,Center City,45.377896,-92.796687
Luther Seminary,路德学院,55108-1496,Minnesota,MN,Saint Paul,44.984815,-93.196754
Macalester College,麦卡莱斯特学院,55105-1899,Minnesota,MN,Saint Paul,44.936709,-93.169855
Minnesota State University-Mankato,明尼苏达州立大学曼凯托,56001,Minnesota,MN,Mankato,44.147253,-93.998494
Mayo Medical School,梅奥医学院,55905,Minnesota,MN,Rochester,44.020808,-92.466417
Mayo School of Health Sciences,健康科学学院梅奥,55905,Minnesota,MN,Rochester,44.022784,-92.466645
Metropolitan State University,大都会州立大学,55106-5000,Minnesota,MN,Saint Paul,44.957017,-93.074153
University of Minnesota-Twin Cities,明尼苏达大学双城分校,55455-0213,Minnesota,MN,Minneapolis,44.977886,-93.235352
University of Minnesota-Crookston,明尼苏达大学克鲁克斯顿大学,56716-5001,Minnesota,MN,Crookston,47.802021,-96.609863
Minneapolis College of Art and Design,艺术与设计学院明尼阿波利斯,55404,Minnesota,MN,Minneapolis,44.956988,-93.274694
Crossroads College,十字路口学院,55902-2382,Minnesota,MN,Rochester,43.997064,-92.476297
University of Minnesota-Duluth,明尼苏达州德卢斯大学,55812,Minnesota,MN,Duluth,46.818896,-92.085177
University of Minnesota-Morris,明尼苏达州莫里斯大学,56267,Minnesota,MN,Morris,45.589829,-95.901756
Minnesota State University-Moorhead,明尼苏达州立大学墨尔海德,56563,Minnesota,MN,Moorhead,46.866482,-96.763376
North Central University,中北大学,55404-1391,Minnesota,MN,Minneapolis,44.969389,-93.261429
University of Northwestern-St Paul,西北 - 圣保罗大学,55113-1598,Minnesota,MN,Saint Paul,45.032969,-93.171579
Northwestern Health Sciences University,西北健康科学大学,55431,Minnesota,MN,Bloomington,44.85097,-93.311218
Oak Hills Christian College,橡树山基督学院,56601-8834,Minnesota,MN,Bemidji,47.425836,-94.901701
College of Saint Benedict,圣本笃学院,56374,Minnesota,MN,Saint Joseph,45.558609,-94.31902
Saint Cloud State University,圣克劳德州立大学,56301-4498,Minnesota,MN,Saint Cloud,45.552418,-94.153
Saint Johns University,圣约翰大学,56321,Minnesota,MN,Collegeville,45.580538,-94.39268
